ID,Mean Bathy. Depth,Mean Retreat,Mean Fjord Width,Mean TF,Mean Subglacial Discharge,Mean Cross-sectional Area,Mean Undercutting Rate,dist,vel_max,H_mean,sslope_mean,S_mean,Type_EntireRecord
88,148,29.2,3.24,2.53999996185303,2.63,0.54,0.600000023841858,20000,1005.02148,612.882352941176,0.0275509877241027,611.95,1
89,282,28.23,4.18,3.45000004768372,1.07,1.34,0.870000004768372,20000,1906.61853,733.217391304348,0.0309847500850689,426.892857142857,2
90,64,8.9,4.3,4.42000007629395,3.09,0.35,0.990000009536743,20000,1017.04254,763.411764705882,0.030597016364136,549.315789473684,8
94,28,0.53,3.86,0.300000011920929,2.86,0.14,0.0500000007450581,20000,1135.66602,1086.70588235294,0.0249804262983359,732.444444444444,4
97,233,6.29,5.81,3.80999994277954,1.07,1.88,0.879999995231628,20000,1098.64331,750.857142857143,0.0261956015446982,304.3125,1
100,290,20.61,5.44,3.70000004768372,1.39,1.77,0.870000004768372,20000,1432.75354,817.65,0.0290890720042509,456.090909090909,8
101,167,6.24,4.51,3.3199999332428,2.15,0.98,0.759999990463257,20000,1085.75891,745.444444444444,0.0345575422580874,518.263157894737,1
102,2,2.88,1.99,0.100000001490116,4.71,0,0.0199999995529652,20000,2815.38574,323.8,0.0245333509679251,1040.97297297297,2
108,136,0.04,1.99,2.33999991416931,2.61,0.37,0.649999976158142,20000,1619.92883,393.769230769231,0.0452756355581596,635.75,6
115,43,0.58,3.3,5.53000020980835,2.2,0.15,1.3400000333786,20000,786.43823,525.857142857143,0.0381266427013304,531.125,4
118,207,8.56,3.88,3.14000010490417,0.27,1.04,0.670000016689301,20000,1369.97815,748.521739130435,0.0456626574712534,620.44,8
121,96,45.11,3.23,6.15000009536743,8.17,0.34,1.85000002384186,20000,3786.55151,712.5,0.0264272571874722,1040.24324324324,9
132,124,0.51,2.71,0.819999992847443,1.03,0.37,0.150000005960465,20000,688.66309,509.342857142857,0.0296639083193066,1125.91666666667,4
143,187,1.98,1.25,3.0699999332428,0.67,0.27,0.829999983310699,20000,581.66553,654.4,0.0772635990570011,484.25,2
144,539,85.24,8.51,2.13000011444092,4.65,5.77,0.519999980926514,20000,554.1911,713.777777777778,0.0100945462883188,442.52380952381,8
151,5,3.74,2.33,-1.6599999666214,0.39,0.01,0.0199999995529652,20000,555.04401,65.8571428571429,0.0465573716118492,355.5625,8
163,191,20.8,8.24,1.22000002861023,4.79,1.82,0.25,20000,343.45837,845.333333333333,0.0201951881416165,657.631578947368,1
167,10,0.92,1.8,2.9300000667572,1.09,0.02,0.639999985694885,20000,438.83795,39.0666666666667,0.0566746086475403,503.235294117647,8
168,85,5.17,5.02,3.85999989509583,6.03,0.46,0.899999976158142,20000,170.05373,411.8,0.0261176438460437,345.833333333333,1
169,37,2.57,4.3,0.0299999993294477,0.74,0.22,0,20000,275.02863,232.166666666667,0.0233229037372182,406.157894736842,4
